"Nom_site","treatment_site","treatment","contamination","control_site","control_treatment","control_contamination","indicator","raw_treatment","raw_control","LRR","framework","score_treatment","score_control","delta_score"
"MetalEurope","B09M117C","117","oui","B09MTEC","T","non","RSr",7.9999999980057,3,0.980829252762439,"ANDRA",3,1,2
"MetalEurope","B09M117C","117","oui","B09MTEC","T","non","RSr",7.9999999980057,3,0.980829252762439,"TIGA_rural",4,1,3
"MetalEurope","B09M103C","103","oui","B09MTEC","T","non","ab",28650,883,3.47958352153893,"RMQS_Biodiversite",5,1,4
"MetalEurope","B09M103C","103","oui","B09MTEC","T","non","ab",28650,883,3.47958352153893,"RMQS_BioDiv_Bretagne",5,1,4
"MetalEurope","B09M103C","103","oui","B09MTEC","T","non","ab",28650,883,3.47958352153893,"ANDRA",5,1,4
"MetalEurope","B09M103C","103","oui","B09MTEC","T","non","ab",28650,883,3.47958352153893,"TIGA_rural",5,1,4
"MetalEurope","B09M117C","117","oui","B09MTEC","T","non","ab",2386,883,0.994048402053901,"RMQS_Biodiversite",3,1,2
"MetalEurope","B09M117C","117","oui","B09MTEC","T","non","ab",2386,883,0.994048402053901,"RMQS_BioDiv_Bretagne",1,1,0
"MetalEurope","B09M117C","117","oui","B09MTEC","T","non","ab",2386,883,0.994048402053901,"ANDRA",2,1,1
"MetalEurope","B09M117C","117","oui","B09MTEC","T","non","ab",2386,883,0.994048402053901,"TIGA_rural",2,1,1
