"site_id","indicator","framework","scenario","raw_value","score"
"B10G0ES","Shannon","ANDRA","revised_full_untrimmed",0.682891499584426,1
"B10GOBA","Shannon","ANDRA","revised_full_untrimmed",1.22561086375945,1
"B10GOBS","Shannon","ANDRA","revised_full_untrimmed",0.960514920306954,1
"B10GOEA","Shannon","ANDRA","revised_full_untrimmed",1.20309094261505,1
"B10GOES","Shannon","ANDRA","revised_full_untrimmed",1.0565040742084,1
"B10GORA","Shannon","ANDRA","revised_full_untrimmed",0.0796784080399137,1
"B10GORS","Shannon","ANDRA","revised_full_untrimmed",0.756068861171335,1
"B10THLA","Shannon","ANDRA","revised_full_untrimmed",1.73836813632842,3
"B10THLT","Shannon","ANDRA","revised_full_untrimmed",1.87441224712146,4
"B10THTR","Shannon","ANDRA","revised_full_untrimmed",1.63049403149526,2
"B10THTS","Shannon","ANDRA","revised_full_untrimmed",1.7940033606637,4
"B10YVGC","Shannon","ANDRA","revised_full_untrimmed",1.29383417214441,1
"B10YVPP","Shannon","ANDRA","revised_full_untrimmed",1.33123212785543,1
"B10YVSI","Shannon","ANDRA","revised_full_untrimmed",0.875983356518112,1
"B10YVSII","Shannon","ANDRA","revised_full_untrimmed",1.41128626713029,2
"B10YVSIII","Shannon","ANDRA","revised_full_untrimmed",0,1
"B10YVSIV","Shannon","ANDRA","revised_full_untrimmed",1.5429544378088,2
"B09BIO","Pielou","ANDRA","revised_full_untrimmed",0.88153800348913,4
"B09DUB","Pielou","ANDRA","revised_full_untrimmed",0.74841732922383,2
"B09FUM","Pielou","ANDRA","revised_full_untrimmed",0.897366029655551,4
"B09M103C","Pielou","ANDRA","revised_full_untrimmed",0.684068363804614,1
"B09M117C","Pielou","ANDRA","revised_full_untrimmed",0.812584769299305,3
"B09MTEC","Pielou","ANDRA","revised_full_untrimmed",0.580384397713543,1
"B09OMR","Pielou","ANDRA","revised_full_untrimmed",0.97121466805865,5
"B09TEM","Pielou","ANDRA","revised_full_untrimmed",0.557399338992427,1
"B10AUPTé","Pielou","ANDRA","revised_full_untrimmed",0.54035799811343,1
"B10G0ES","Pielou","ANDRA","revised_full_untrimmed",0.98520417991568,5
"B10GOBA","Pielou","ANDRA","revised_full_untrimmed",0.614210964829815,1
"B10GOBS","Pielou","ANDRA","revised_full_untrimmed",0.596827798372612,1
"B10GOEA","Pielou","ANDRA","revised_full_untrimmed",0.618286081719218,1
"B10GOES","Pielou","ANDRA","revised_full_untrimmed",0.500788250926202,1
"B10GORA","Pielou","ANDRA","revised_full_untrimmed",0.0629306958436919,0
"B10GORS","Pielou","ANDRA","revised_full_untrimmed",0.421971501133495,1
"B10THLA","Pielou","ANDRA","revised_full_untrimmed",0.791538023433503,2
"B10THLT","Pielou","ANDRA","revised_full_untrimmed",0.733452540145104,1
"B10THTR","Pielou","ANDRA","revised_full_untrimmed",0.656195542254709,1
"B10THTS","Pielou","ANDRA","revised_full_untrimmed",0.779282982122881,2
"B10YVGC","Pielou","ANDRA","revised_full_untrimmed",0.803904376121411,2
"B10YVPP","Pielou","ANDRA","revised_full_untrimmed",0.960280994564546,5
"B10YVSI","Pielou","ANDRA","revised_full_untrimmed",0.79735441297503,2
"B10YVSII","Pielou","ANDRA","revised_full_untrimmed",0.787654364608086,2
"B10YVSIII","Pielou","ANDRA","revised_full_untrimmed",,
